"","PrecinctID","Yes","No","Ballots","Turnout","prop","PYes","PNo","Perc","Win"
"20",1135,374,127,529,42.22,"C",0.746506986027944,0.253493013972056,0.746506986027944,"Yes"
"21",1136,193,90,299,40.57,"C",0.681978798586572,0.318021201413428,0.681978798586572,"Yes"
"22",1141,507,147,701,41.31,"C",0.775229357798165,0.224770642201835,0.775229357798165,"Yes"
"23",1144,525,176,741,43.01,"C",0.748930099857347,0.251069900142653,0.748930099857347,"Yes"
"24",1146,499,203,744,44.26,"C",0.710826210826211,0.289173789173789,0.710826210826211,"Yes"
"25",1148,223,95,337,40.75,"C",0.70125786163522,0.29874213836478,0.70125786163522,"Yes"
"26",1149,517,196,765,46.14,"C",0.725105189340813,0.274894810659187,0.725105189340813,"Yes"
"27",1153,451,225,696,43.42,"C",0.667159763313609,0.332840236686391,0.667159763313609,"Yes"
"28",7001,187,82,284,45.23,"C",0.695167286245353,0.304832713754647,0.695167286245353,"Yes"
"29",7002,277,76,373,43.37,"C",0.784702549575071,0.215297450424929,0.784702549575071,"Yes"
"30",7003,605,175,811,51.13,"C",0.775641025641026,0.224358974358974,0.775641025641026,"Yes"
"31",7005,299,96,412,53.86,"C",0.756962025316456,0.243037974683544,0.756962025316456,"Yes"
"32",7006,304,115,437,50.35,"C",0.725536992840095,0.274463007159905,0.725536992840095,"Yes"
"33",7007,713,178,929,55.79,"C",0.800224466891134,0.199775533108866,0.800224466891134,"Yes"
"34",7011,504,151,672,37.03,"C",0.769465648854962,0.230534351145038,0.769465648854962,"Yes"
"35",7012,353,95,458,51.63,"C",0.787946428571429,0.212053571428571,0.787946428571429,"Yes"
"36",7013,499,165,677,42.74,"C",0.751506024096386,0.248493975903614,0.751506024096386,"Yes"
"37",7015,22,8,32,41.03,"C",0.733333333333333,0.266666666666667,0.733333333333333,"Yes"
"38",7016,417,151,607,35.39,"C",0.734154929577465,0.265845070422535,0.734154929577465,"Yes"
"39",7018,467,173,680,39.26,"C",0.7296875,0.2703125,0.7296875,"Yes"
"40",7021,383,142,551,32.84,"C",0.72952380952381,0.27047619047619,0.72952380952381,"Yes"
"41",7022,218,76,309,33.52,"C",0.741496598639456,0.258503401360544,0.741496598639456,"Yes"
